protein_id,buffer,sugar,surfactant,amino_acid,ph,temperature_c,buf_conc_mM,sug_conc_mM,sur_conc_mM,aa_conc_mM,aggregation_score,oxidation_level,deamidation_level,potency_retention,viscosity_class,shelf_life_score
A6QL63,citric acid,trehalose,polysorbate 20,arginine,6.0,40,10.0,200.0,0.045,100.0,0.2729,0.4742,0.2948,0.6535,0,0.6658
A6QL63,histidine,mannitol,polysorbate 80,none,5.5,4,50.0,300.0,0.045,0.0,0.2381,0.2421,0.1924,0.8092,1,0.7736
A6QL63,acetic acid,trehalose,poloxamer 188,arginine,6.5,40,50.0,300.0,0.01,100.0,0.443,0.4185,0.346,0.6163,1,0.5678
A6QL63,citric acid,sucrose,polysorbate 20,glycine,7.4,40,30.0,100.0,0.045,200.0,0.2156,0.4792,0.3423,0.6552,1,0.686
A6QL63,histidine,sucrose,polysorbate 20,proline,7.4,40,30.0,100.0,0.01,100.0,0.2103,0.4164,0.334,0.6953,0,0.6873
A6QL63,acetic acid,trehalose,polysorbate 20,none,7.4,4,30.0,200.0,0.08,0.0,0.1165,0.3679,0.3527,0.7771,0,0.7001
A6QL63,histidine,trehalose,polysorbate 80,none,6.5,40,50.0,100.0,0.01,0.0,0.487,0.365,0.2802,0.6108,0,0.619
A6QL63,citric acid,mannitol,polysorbate 20,methionine,6.5,40,10.0,100.0,0.045,10.0,0.6233,0.2914,0.2531,0.5864,0,0.616
A6QL63,phosphoric acid,mannitol,poloxamer 188,proline,5.5,40,30.0,100.0,0.05,100.0,0.4939,0.46,0.3493,0.568,0,0.573
A6QL63,acetic acid,sucrose,poloxamer 188,proline,5.5,4,30.0,200.0,0.05,50.0,0.2926,0.3415,0.2598,0.7332,0,0.7155
A6QL63,histidine,sorbitol,poloxamer 188,none,7.4,40,10.0,200.0,0.01,0.0,0.4368,0.3416,0.385,0.6102,0,0.589
A6QL63,citric acid,sorbitol,polysorbate 20,none,6.0,25,50.0,100.0,0.01,0.0,0.4917,0.3825,0.1701,0.6561,0,0.6486
A6QL63,citric acid,trehalose,polysorbate 80,proline,7.4,40,50.0,100.0,0.045,50.0,0.1841,0.4597,0.3243,0.6911,0,0.6599
A6QL63,citric acid,mannitol,polysorbate 80,none,7.0,40,10.0,100.0,0.045,0.0,0.514,0.4525,0.3632,0.5235,0,0.544
A6QL63,citric acid,sucrose,polysorbate 20,methionine,6.5,25,30.0,300.0,0.08,10.0,0.3781,0.1593,0.1929,0.7691,1,0.719
A6QL63,phosphoric acid,trehalose,polysorbate 80,arginine,5.5,4,10.0,300.0,0.08,100.0,0.0055,0.3926,0.2485,0.8073,1,0.8282
B6A8C7,citric acid,trehalose,polysorbate 80,arginine,6.0,4,50.0,200.0,0.01,150.0,0.015,0.2584,0.1757,0.8608,1,0.8858
B6A8C7,acetic acid,mannitol,polysorbate 80,methionine,6.5,25,10.0,100.0,0.01,1.0,0.2834,0.1378,0.2786,0.8248,0,0.7617
B6A8C7,histidine,sorbitol,polysorbate 80,proline,6.5,4,50.0,300.0,0.01,50.0,0.1828,0.1861,0.2131,0.8081,1,0.7999
B6A8C7,histidine,trehalose,polysorbate 20,none,6.5,40,30.0,200.0,0.01,0.0,0.1974,0.276,0.2518,0.7603,0,0.8091
B6A8C7,acetic acid,sorbitol,polysorbate 80,none,7.4,25,50.0,200.0,0.045,0.0,0.2408,0.259,0.3404,0.7631,0,0.7459
B6A8C7,histidine,sucrose,polysorbate 20,methionine,5.0,4,50.0,300.0,0.045,10.0,0.0825,0.0271,0.1596,0.9051,1,0.9277
B6A8C7,histidine,sorbitol,poloxamer 188,arginine,5.5,25,30.0,200.0,0.03,100.0,0.2823,0.1462,0.2032,0.8141,0,0.8102
B6A8C7,acetic acid,trehalose,polysorbate 20,proline,7.0,4,50.0,300.0,0.01,100.0,0.028,0.2498,0.3684,0.8502,1,0.8393
B6A8C7,acetic acid,sucrose,poloxamer 188,none,5.0,4,50.0,300.0,0.05,0.0,0.1894,0.2723,0.2509,0.817,1,0.748
B6A8C7,citric acid,sorbitol,polysorbate 20,proline,6.5,4,10.0,200.0,0.08,150.0,0.2837,0.2714,0.2032,0.778,1,0.7414
B6A8C7,citric acid,sorbitol,polysorbate 80,proline,6.0,40,50.0,300.0,0.01,150.0,0.3026,0.3703,0.28,0.6634,2,0.672
B6A8C7,histidine,sucrose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.0633,0.0287,0.2288,0.9295,1,0.8778
B6A8C7,citric acid,sorbitol,poloxamer 188,methionine,5.0,4,30.0,300.0,0.05,1.0,0.2836,0.0934,0.1355,0.8043,1,0.8037
B6A8C7,citric acid,trehalose,polysorbate 80,arginine,6.5,25,30.0,300.0,0.045,100.0,0.0468,0.2666,0.175,0.8743,1,0.8514
B6A8C7,citric acid,sucrose,polysorbate 80,glycine,5.0,40,30.0,100.0,0.045,125.0,0.1992,0.3532,0.3004,0.7404,1,0.6906
B6A8C7,acetic acid,sucrose,poloxamer 188,methionine,5.5,4,50.0,300.0,0.03,5.5,0.1375,0.1215,0.2521,0.8682,1,0.8183
B6A8C7,acetic acid,sorbitol,polysorbate 80,none,7.0,4,10.0,300.0,0.045,0.0,0.2832,0.3009,0.3757,0.7419,1,0.7059
B6A8C7,citric acid,sucrose,polysorbate 80,glycine,5.0,40,30.0,100.0,0.01,50.0,0.1846,0.3608,0.273,0.7305,0,0.7388
B6A8C7,phosphoric acid,mannitol,polysorbate 80,arginine,5.0,25,10.0,100.0,0.08,100.0,0.1242,0.2611,0.2699,0.8165,0,0.8305
B6A8C7,citric acid,sorbitol,poloxamer 188,none,6.0,4,10.0,200.0,0.03,0.0,0.2933,0.2872,0.2012,0.8017,0,0.7281
B6A8C7,phosphoric acid,sorbitol,polysorbate 80,methionine,7.0,4,30.0,200.0,0.01,1.0,0.2496,0.1385,0.3753,0.7816,0,0.7547
B6A8C7,phosphoric acid,mannitol,poloxamer 188,methionine,7.0,4,50.0,100.0,0.05,1.0,0.2756,0.1408,0.3739,0.7683,0,0.7763
B6A8C7,histidine,sucrose,polysorbate 20,none,7.4,25,30.0,300.0,0.045,0.0,0.048,0.1691,0.3112,0.8512,1,0.8257
B6A8C7,phosphoric acid,mannitol,polysorbate 80,none,7.0,25,50.0,300.0,0.08,0.0,0.2138,0.2939,0.3756,0.7253,1,0.703
B6A8C7,acetic acid,sorbitol,polysorbate 80,none,5.5,40,30.0,100.0,0.01,0.0,0.3333,0.3756,0.3799,0.6364,0,0.6045
B6A8C7,histidine,sucrose,polysorbate 20,arginine,7.4,4,50.0,200.0,0.045,50.0,0.0368,0.1822,0.2991,0.8797,0,0.8629
B6A8C7,phosphoric acid,mannitol,poloxamer 188,glycine,5.0,40,10.0,300.0,0.03,125.0,0.4322,0.404,0.3818,0.5776,2,0.6368
B6A8C7,histidine,mannitol,polysorbate 20,none,7.0,25,10.0,100.0,0.08,0.0,0.2782,0.1886,0.2459,0.7572,0,0.7642
B6A8C7,phosphoric acid,mannitol,polysorbate 20,none,7.0,4,10.0,100.0,0.045,0.0,0.2559,0.2648,0.3742,0.7751,0,0.7198
B6A8C7,phosphoric acid,sorbitol,polysorbate 20,arginine,7.4,4,30.0,100.0,0.08,100.0,0.1373,0.2749,0.3553,0.7838,0,0.7477
B6A8C7,phosphoric acid,sorbitol,polysorbate 20,arginine,7.0,25,50.0,300.0,0.08,100.0,0.1239,0.252,0.3688,0.7899,1,0.7056
B6A8C7,histidine,trehalose,poloxamer 188,proline,6.0,4,10.0,200.0,0.01,100.0,0.2465,0.1989,0.1639,0.8093,0,0.7691
B6A8C7,acetic acid,trehalose,poloxamer 188,none,6.5,4,50.0,100.0,0.03,0.0,0.2524,0.3151,0.2745,0.7701,0,0.7257
B6A8C7,phosphoric acid,sucrose,polysorbate 20,methionine,5.0,25,10.0,200.0,0.045,5.5,0.0448,0.1189,0.274,0.8825,0,0.8598
B6A8C7,citric acid,mannitol,polysorbate 80,arginine,6.0,4,10.0,100.0,0.045,150.0,0.1688,0.2755,0.1724,0.7941,1,0.7837
B6A8C7,histidine,sorbitol,poloxamer 188,glycine,5.5,25,30.0,300.0,0.05,125.0,0.2797,0.1967,0.1293,0.8263,2,0.8181
B6A8C7,phosphoric acid,trehalose,polysorbate 80,none,7.4,4,10.0,300.0,0.01,0.0,0.0592,0.2251,0.3642,0.8347,1,0.7794
B6A8C7,acetic acid,sorbitol,poloxamer 188,none,5.0,4,30.0,100.0,0.05,0.0,0.3361,0.3077,0.2847,0.6978,0,0.6559
B6A8C7,histidine,mannitol,polysorbate 20,arginine,5.0,40,50.0,300.0,0.045,50.0,0.2284,0.2729,0.2813,0.7098,1,0.7526
B6A8C7,phosphoric acid,trehalose,polysorbate 20,glycine,5.5,25,30.0,300.0,0.045,125.0,0.1263,0.2934,0.2704,0.8037,2,0.7732
B6A8C7,histidine,mannitol,polysorbate 80,glycine,6.0,4,10.0,300.0,0.08,200.0,0.2536,0.1646,0.1723,0.8157,2,0.7874
B6A8C7,histidine,trehalose,poloxamer 188,proline,7.0,25,30.0,100.0,0.05,100.0,0.1604,0.1836,0.2702,0.8367,0,0.789
B6A8C7,citric acid,trehalose,polysorbate 80,proline,7.0,25,50.0,200.0,0.01,50.0,0.1215,0.2596,0.3056,0.7774,0,0.7905
B6A8C7,histidine,sorbitol,poloxamer 188,arginine,5.0,25,10.0,100.0,0.03,100.0,0.2858,0.1612,0.1799,0.8269,0,0.739
B6A8C7,citric acid,sorbitol,poloxamer 188,proline,6.0,25,10.0,300.0,0.05,150.0,0.3333,0.2273,0.1521,0.8007,2,0.7412
B6A8C7,histidine,sorbitol,poloxamer 188,glycine,5.0,40,30.0,100.0,0.03,125.0,0.4163,0.2732,0.3128,0.6023,1,0.6367
B6A8C7,acetic acid,sorbitol,polysorbate 80,glycine,5.5,40,30.0,200.0,0.045,50.0,0.3798,0.4143,0.3693,0.5751,0,0.6549
B6A8C7,phosphoric acid,mannitol,polysorbate 20,methionine,5.0,4,30.0,100.0,0.045,5.5,0.2994,0.1407,0.2552,0.786,0,0.7583
B6A8C7,acetic acid,trehalose,polysorbate 20,proline,7.0,40,10.0,300.0,0.01,100.0,0.1781,0.4061,0.489,0.6376,1,0.6877
B6A8C7,histidine,mannitol,poloxamer 188,arginine,6.0,40,30.0,200.0,0.05,100.0,0.3643,0.2909,0.3007,0.6346,0,0.6761
B6A8C7,citric acid,trehalose,poloxamer 188,glycine,6.5,25,10.0,200.0,0.01,200.0,0.1689,0.2458,0.1783,0.8733,1,0.7684
B6A8C7,acetic acid,sorbitol,poloxamer 188,proline,7.0,40,10.0,100.0,0.05,150.0,0.4506,0.3899,0.4739,0.5558,1,0.5346
B6A8C7,histidine,sorbitol,polysorbate 80,none,7.0,25,30.0,300.0,0.01,0.0,0.2252,0.162,0.2276,0.8397,1,0.8122
B6A8C7,acetic acid,trehalose,polysorbate 20,methionine,5.0,40,10.0,300.0,0.08,5.5,0.1698,0.2317,0.3929,0.7385,1,0.7628
B6A8C7,phosphoric acid,sorbitol,poloxamer 188,arginine,5.0,4,10.0,300.0,0.05,50.0,0.2293,0.3034,0.2778,0.7656,1,0.7085
B6A8C7,citric acid,trehalose,polysorbate 20,none,6.0,25,50.0,300.0,0.045,0.0,0.0768,0.2605,0.1586,0.8431,1,0.8222
B6A8C7,citric acid,trehalose,poloxamer 188,proline,6.0,40,50.0,200.0,0.03,150.0,0.3486,0.4037,0.3098,0.603,1,0.6479
B6A8C7,phosphoric acid,sucrose,poloxamer 188,arginine,7.0,40,30.0,100.0,0.03,50.0,0.1828,0.3632,0.453,0.7021,0,0.6741
B6A8C7,phosphoric acid,sucrose,polysorbate 80,none,6.0,4,30.0,100.0,0.01,0.0,0.1336,0.2892,0.3175,0.7667,0,0.7897
B6A8C7,acetic acid,sorbitol,poloxamer 188,proline,7.4,25,30.0,200.0,0.03,150.0,0.3693,0.2577,0.3915,0.7034,1,0.653
B7U540,citric acid,trehalose,polysorbate 20,glycine,5.5,40,30.0,200.0,0.045,50.0,0.3894,0.472,0.3065,0.5913,0,0.6263
B7U540,phosphoric acid,trehalose,polysorbate 80,arginine,5.0,40,10.0,100.0,0.08,100.0,0.1771,0.4708,0.3872,0.6335,0,0.6635
B7U540,acetic acid,trehalose,polysorbate 80,glycine,7.4,25,30.0,300.0,0.08,125.0,0.0765,0.3886,0.362,0.7884,2,0.7581
B7U540,citric acid,sorbitol,poloxamer 188,methionine,7.0,25,30.0,200.0,0.01,1.0,0.3642,0.2167,0.2599,0.7613,0,0.7293
B7U540,acetic acid,sucrose,poloxamer 188,methionine,7.4,4,50.0,300.0,0.03,5.5,0.1343,0.2434,0.326,0.809,1,0.8134
B7U540,phosphoric acid,sucrose,polysorbate 80,none,6.5,40,30.0,100.0,0.08,0.0,0.2583,0.4697,0.3808,0.5987,0,0.6288
B7U540,acetic acid,sucrose,polysorbate 80,none,6.0,25,50.0,100.0,0.08,0.0,0.3547,0.3737,0.2608,0.7087,0,0.6762
B7U540,histidine,trehalose,polysorbate 20,arginine,7.4,40,50.0,300.0,0.045,150.0,0.1035,0.3796,0.373,0.7177,2,0.742
B7U540,histidine,mannitol,poloxamer 188,arginine,6.5,25,50.0,200.0,0.05,150.0,0.3252,0.2827,0.1458,0.7552,1,0.7252
B7U540,phosphoric acid,sorbitol,polysorbate 20,proline,6.0,4,10.0,300.0,0.08,150.0,0.42,0.3916,0.2698,0.6762,2,0.625
B7U540,phosphoric acid,mannitol,polysorbate 80,methionine,7.0,4,50.0,100.0,0.08,5.5,0.271,0.2474,0.3744,0.726,0,0.708
B7U540,histidine,mannitol,polysorbate 20,arginine,5.5,40,10.0,200.0,0.045,50.0,0.495,0.3865,0.2238,0.5945,0,0.6631
B7U540,phosphoric acid,mannitol,polysorbate 20,arginine,7.4,4,50.0,100.0,0.08,150.0,0.168,0.3718,0.373,0.7529,1,0.7332
B7U540,citric acid,sorbitol,polysorbate 20,glycine,6.0,40,10.0,200.0,0.01,200.0,0.5324,0.501,0.2774,0.5284,1,0.5603
B7U540,histidine,mannitol,polysorbate 80,glycine,7.0,4,30.0,200.0,0.045,50.0,0.273,0.3038,0.2427,0.7675,0,0.7256
B7U540,acetic acid,trehalose,polysorbate 80,none,7.4,25,10.0,300.0,0.045,0.0,0.0776,0.3878,0.3625,0.8039,1,0.7422
B7U540,histidine,sucrose,polysorbate 80,methionine,6.5,25,30.0,200.0,0.08,10.0,0.1365,0.1285,0.1691,0.8976,0,0.8682
B7U540,citric acid,sorbitol,poloxamer 188,methionine,6.5,25,10.0,300.0,0.03,1.0,0.3779,0.2861,0.1708,0.7543,1,0.7087
B7U540,phosphoric acid,sorbitol,polysorbate 20,proline,7.0,40,10.0,100.0,0.08,150.0,0.3748,0.5032,0.4899,0.5723,1,0.5696
B7U540,phosphoric acid,sorbitol,poloxamer 188,proline,6.0,25,30.0,100.0,0.03,150.0,0.5773,0.3749,0.2722,0.6208,1,0.5705
B7U540,acetic acid,sorbitol,poloxamer 188,glycine,7.4,40,50.0,100.0,0.05,125.0,0.4907,0.5154,0.4472,0.4929,1,0.5121
B7U540,citric acid,mannitol,poloxamer 188,arginine,7.4,4,10.0,100.0,0.03,50.0,0.288,0.3759,0.2926,0.722,0,0.685
B7U540,histidine,sorbitol,polysorbate 20,glycine,7.4,25,30.0,100.0,0.01,50.0,0.2157,0.2601,0.2712,0.7388,0,0.7746
B7U540,histidine,sucrose,poloxamer 188,glycine,7.0,40,10.0,300.0,0.01,50.0,0.2707,0.4512,0.4117,0.6204,1,0.6307
B7U540,citric acid,sorbitol,poloxamer 188,none,5.5,4,50.0,100.0,0.03,0.0,0.6106,0.4204,0.1328,0.5673,0,0.5773
B7U540,phosphoric acid,sorbitol,poloxamer 188,arginine,7.4,25,30.0,200.0,0.05,150.0,0.2796,0.3963,0.3869,0.6679,1,0.6069
B7U540,phosphoric acid,mannitol,polysorbate 80,arginine,6.0,4,30.0,200.0,0.045,50.0,0.4159,0.3698,0.2252,0.6806,0,0.671
B7U540,phosphoric acid,mannitol,polysorbate 80,methionine,5.0,25,10.0,300.0,0.045,1.0,0.2938,0.2272,0.2624,0.7544,1,0.7086
B7U540,acetic acid,sucrose,polysorbate 80,none,6.5,4,50.0,300.0,0.01,0.0,0.132,0.3968,0.272,0.7771,1,0.7267
B7U540,acetic acid,mannitol,polysorbate 80,arginine,5.0,4,50.0,300.0,0.045,100.0,0.212,0.3428,0.2691,0.7871,1,0.7021
B7U540,histidine,sorbitol,polysorbate 80,arginine,5.0,40,30.0,200.0,0.01,150.0,0.3165,0.393,0.2906,0.6384,1,0.6545
B7U540,phosphoric acid,sorbitol,poloxamer 188,arginine,7.0,40,30.0,200.0,0.03,100.0,0.303,0.4884,0.5064,0.5865,0,0.5799
B7U540,histidine,trehalose,polysorbate 80,methionine,7.4,25,10.0,300.0,0.08,5.5,0.0851,0.1362,0.2493,0.8917,1,0.8548
B7U540,phosphoric acid,mannitol,polysorbate 20,arginine,7.4,40,10.0,200.0,0.08,100.0,0.2626,0.4669,0.4916,0.6199,0,0.5963
B7U540,histidine,sorbitol,polysorbate 20,glycine,5.5,40,10.0,200.0,0.08,50.0,0.5942,0.3764,0.2499,0.5342,0,0.539
B7U540,phosphoric acid,sorbitol,polysorbate 80,proline,6.5,4,50.0,200.0,0.08,50.0,0.3343,0.3498,0.241,0.6717,0,0.6874
B7U540,citric acid,sucrose,polysorbate 80,arginine,7.4,40,10.0,200.0,0.045,50.0,0.1076,0.4798,0.3447,0.6706,0,0.7189
B7U540,phosphoric acid,sorbitol,poloxamer 188,methionine,5.0,4,30.0,100.0,0.03,10.0,0.4143,0.2427,0.2478,0.7155,0,0.7132
B7U540,histidine,sorbitol,polysorbate 80,glycine,7.4,40,50.0,200.0,0.08,200.0,0.3597,0.3781,0.3707,0.6137,1,0.6316
B7U540,citric acid,trehalose,polysorbate 80,arginine,7.4,4,30.0,300.0,0.01,100.0,0.0,0.3831,0.2698,0.8112,1,0.7838
B7U540,histidine,trehalose,poloxamer 188,glycine,5.0,4,50.0,100.0,0.03,50.0,0.2391,0.2544,0.1412,0.803,0,0.7678
B7U540,acetic acid,trehalose,poloxamer 188,arginine,5.0,4,30.0,300.0,0.05,50.0,0.1829,0.3871,0.2262,0.7786,1,0.7591
B7U540,histidine,trehalose,polysorbate 20,proline,7.4,40,30.0,200.0,0.01,150.0,0.1623,0.3948,0.3484,0.6989,1,0.6868
B7U540,citric acid,mannitol,polysorbate 80,arginine,7.0,4,30.0,100.0,0.01,100.0,0.125,0.3787,0.2631,0.7758,0,0.7338
B7U540,citric acid,sorbitol,polysorbate 80,proline,7.0,4,30.0,100.0,0.08,50.0,0.2468,0.3918,0.2647,0.7345,0,0.691
B7U540,citric acid,sucrose,poloxamer 188,none,6.5,4,10.0,200.0,0.01,0.0,0.3053,0.3629,0.1753,0.7576,0,0.7261
B7U540,histidine,sucrose,polysorbate 80,arginine,7.4,40,50.0,200.0,0.045,150.0,0.106,0.3758,0.3863,0.6891,1,0.7096
B7U540,acetic acid,trehalose,polysorbate 80,glycine,7.4,25,50.0,200.0,0.045,50.0,0.0802,0.4111,0.3731,0.7506,0,0.7264
B7U540,citric acid,sucrose,poloxamer 188,glycine,7.4,25,50.0,100.0,0.05,125.0,0.1904,0.3722,0.2851,0.7277,1,0.7588
B7U540,phosphoric acid,sorbitol,polysorbate 80,none,5.5,4,10.0,300.0,0.01,0.0,0.4723,0.4082,0.2563,0.6344,1,0.5831
B7U540,phosphoric acid,trehalose,polysorbate 20,glycine,6.0,4,10.0,100.0,0.01,200.0,0.321,0.3963,0.2915,0.6723,1,0.658
B7U540,acetic acid,sorbitol,polysorbate 80,glycine,7.4,4,10.0,300.0,0.045,125.0,0.2209,0.3585,0.3774,0.7141,2,0.687
B7U540,citric acid,sorbitol,polysorbate 20,proline,7.0,25,10.0,100.0,0.08,50.0,0.2452,0.3706,0.2654,0.7333,0,0.7037
B7U540,citric acid,trehalose,polysorbate 80,methionine,7.0,4,10.0,100.0,0.08,5.5,0.0869,0.2428,0.2986,0.8355,0,0.8227
B7U540,phosphoric acid,sorbitol,polysorbate 80,proline,5.5,4,30.0,100.0,0.01,50.0,0.4391,0.3895,0.2436,0.6293,0,0.6196
B7U540,acetic acid,trehalose,polysorbate 20,glycine,5.0,25,50.0,200.0,0.01,125.0,0.1999,0.4054,0.2704,0.7137,1,0.7134
B7U540,citric acid,trehalose,poloxamer 188,methionine,5.5,25,30.0,100.0,0.03,10.0,0.4398,0.2399,0.1287,0.7086,0,0.7122
B7U540,citric acid,mannitol,polysorbate 20,glycine,6.0,4,10.0,300.0,0.08,50.0,0.4695,0.3425,0.1623,0.6798,1,0.6777
B7U540,phosphoric acid,trehalose,polysorbate 80,methionine,6.5,25,10.0,200.0,0.01,5.5,0.1909,0.248,0.2496,0.7612,0,0.7665
B7U540,citric acid,trehalose,poloxamer 188,none,5.5,4,30.0,300.0,0.03,0.0,0.4275,0.4142,0.1798,0.6774,1,0.6584
O15520,citric acid,sorbitol,polysorbate 20,proline,5.0,40,30.0,300.0,0.01,50.0,0.29,0.5147,0.5641,0.5479,1,0.5926
O15520,phosphoric acid,sorbitol,poloxamer 188,glycine,7.0,4,50.0,100.0,0.03,50.0,0.3304,0.4438,0.6026,0.6259,0,0.5392
O15520,histidine,sorbitol,poloxamer 188,none,5.0,25,50.0,200.0,0.03,0.0,0.2809,0.3217,0.451,0.684,0,0.6259
O15520,histidine,sorbitol,polysorbate 20,glycine,5.0,40,10.0,300.0,0.08,125.0,0.304,0.4156,0.5417,0.6144,2,0.59
O15520,citric acid,trehalose,polysorbate 20,proline,5.5,40,10.0,100.0,0.045,150.0,0.2457,0.5218,0.5238,0.5582,1,0.5828
O15520,phosphoric acid,trehalose,poloxamer 188,methionine,7.0,40,50.0,100.0,0.03,5.5,0.28,0.3865,0.74,0.5505,0,0.5535
O15520,citric acid,sorbitol,polysorbate 80,proline,7.4,25,50.0,300.0,0.01,150.0,0.2269,0.4479,0.5485,0.6804,2,0.6115
O15520,histidine,sorbitol,poloxamer 188,proline,7.0,4,30.0,200.0,0.03,150.0,0.335,0.3423,0.5041,0.6555,1,0.5966
O15520,citric acid,sucrose,poloxamer 188,proline,7.4,4,50.0,300.0,0.03,50.0,0.1681,0.4419,0.5188,0.6486,1,0.6363
O15520,histidine,sorbitol,polysorbate 20,methionine,7.0,4,30.0,200.0,0.01,10.0,0.2508,0.1781,0.5393,0.7328,0,0.6589
O15520,histidine,trehalose,polysorbate 80,proline,5.5,40,10.0,300.0,0.045,150.0,0.1722,0.4006,0.5744,0.6575,2,0.627
O15520,citric acid,trehalose,polysorbate 20,proline,6.0,40,50.0,200.0,0.045,50.0,0.155,0.5154,0.526,0.6505,0,0.6293
O15520,histidine,mannitol,polysorbate 20,methionine,6.5,40,50.0,100.0,0.045,10.0,0.3181,0.3051,0.5318,0.6403,0,0.6095
O15520,phosphoric acid,sorbitol,poloxamer 188,proline,7.4,40,10.0,100.0,0.03,50.0,0.4509,0.5235,0.693,0.5143,0,0.4805
O15520,histidine,sorbitol,polysorbate 80,proline,5.0,4,10.0,200.0,0.01,150.0,0.2115,0.2953,0.4377,0.741,1,0.7026
O15520,citric acid,sorbitol,polysorbate 80,glycine,7.0,40,10.0,200.0,0.045,200.0,0.3291,0.5274,0.6597,0.5395,1,0.4912
O15520,citric acid,sorbitol,polysorbate 20,methionine,6.5,40,50.0,100.0,0.045,1.0,0.3809,0.4001,0.5938,0.5364,0,0.5543
O15520,histidine,sucrose,polysorbate 80,none,7.4,25,30.0,300.0,0.045,0.0,0.0,0.3284,0.5198,0.836,1,0.7301
O15520,phosphoric acid,sorbitol,poloxamer 188,none,7.0,25,30.0,200.0,0.05,0.0,0.2727,0.4079,0.5913,0.6653,0,0.5499
O15520,citric acid,mannitol,polysorbate 80,proline,5.5,25,30.0,200.0,0.01,50.0,0.2242,0.3757,0.4244,0.7456,0,0.6775
O15520,phosphoric acid,mannitol,polysorbate 20,glycine,7.0,4,50.0,300.0,0.045,50.0,0.1808,0.4167,0.6311,0.6859,1,0.586
O15520,citric acid,trehalose,polysorbate 80,glycine,5.0,4,30.0,300.0,0.01,125.0,0.0745,0.3632,0.4182,0.7678,2,0.7485
O15520,phosphoric acid,mannitol,polysorbate 80,glycine,7.0,40,10.0,300.0,0.045,125.0,0.3074,0.4892,0.7111,0.542,2,0.5154
O15520,citric acid,mannitol,polysorbate 20,none,5.5,40,30.0,100.0,0.01,0.0,0.3227,0.5077,0.5447,0.5493,0,0.5535
O15520,acetic acid,sorbitol,polysorbate 80,methionine,6.0,4,10.0,300.0,0.08,10.0,0.2718,0.2388,0.4937,0.7366,1,0.6579
O15520,phosphoric acid,mannitol,polysorbate 20,proline,7.0,40,10.0,300.0,0.08,100.0,0.2972,0.5017,0.7256,0.5675,1,0.529
O15520,phosphoric acid,sucrose,poloxamer 188,methionine,5.0,4,50.0,300.0,0.01,5.5,0.1826,0.239,0.5077,0.6969,1,0.6868
O15520,histidine,sorbitol,poloxamer 188,glycine,6.5,25,10.0,200.0,0.01,200.0,0.3521,0.3276,0.4263,0.6752,1,0.6192
O15520,citric acid,trehalose,polysorbate 20,glycine,5.0,4,50.0,200.0,0.08,200.0,0.0795,0.4326,0.3984,0.7647,1,0.7375
O15520,histidine,sorbitol,polysorbate 80,methionine,6.0,40,50.0,300.0,0.01,10.0,0.2943,0.2813,0.5871,0.6284,1,0.6296
O15520,phosphoric acid,sorbitol,polysorbate 80,methionine,6.0,25,30.0,100.0,0.045,5.5,0.2179,0.2709,0.54,0.7275,0,0.6492
O15520,phosphoric acid,mannitol,polysorbate 20,none,5.0,4,50.0,200.0,0.08,0.0,0.2296,0.4465,0.5397,0.6855,0,0.6075
O15520,acetic acid,sorbitol,polysorbate 20,glycine,7.4,25,50.0,200.0,0.01,200.0,0.2459,0.4229,0.6117,0.6588,1,0.5714
O15520,histidine,trehalose,polysorbate 80,proline,6.5,40,30.0,100.0,0.08,100.0,0.1711,0.4211,0.5367,0.6241,0,0.6653
O15520,histidine,sucrose,polysorbate 20,proline,6.5,4,50.0,200.0,0.08,150.0,0.0905,0.3032,0.4,0.7899,1,0.7439
O15520,citric acid,trehalose,polysorbate 80,methionine,6.0,40,30.0,100.0,0.045,10.0,0.1934,0.36,0.4906,0.6587,0,0.6613
O15520,phosphoric acid,sorbitol,poloxamer 188,methionine,5.5,4,10.0,100.0,0.03,5.5,0.3591,0.2533,0.5643,0.6293,0,0.6373
O15520,acetic acid,sucrose,poloxamer 188,proline,6.5,4,30.0,300.0,0.05,50.0,0.15,0.4345,0.5324,0.726,1,0.6422
O15520,histidine,sucrose,polysorbate 20,methionine,5.0,40,50.0,200.0,0.08,5.5,0.1404,0.2957,0.5285,0.7038,0,0.7213
O15520,acetic acid,mannitol,poloxamer 188,methionine,7.4,4,30.0,300.0,0.05,10.0,0.2758,0.2792,0.619,0.6795,1,0.6217
O15520,histidine,mannitol,polysorbate 80,none,5.0,4,30.0,200.0,0.08,0.0,0.1784,0.3017,0.4578,0.7643,0,0.6995
O15520,citric acid,mannitol,polysorbate 80,arginine,6.0,25,30.0,300.0,0.045,50.0,0.134,0.4114,0.4579,0.7274,1,0.6902
O15520,phosphoric acid,mannitol,poloxamer 188,arginine,7.0,4,50.0,100.0,0.01,150.0,0.2944,0.4018,0.6619,0.5987,1,0.5957
O15520,citric acid,mannitol,polysorbate 20,proline,6.0,40,50.0,300.0,0.045,50.0,0.2955,0.5125,0.493,0.5704,1,0.5594
O15520,phosphoric acid,trehalose,polysorbate 80,glycine,7.0,25,30.0,200.0,0.045,125.0,0.0552,0.4146,0.6499,0.7277,1,0.6647
