source,pmid,title,journal,year,query,mentions_histidine,mentions_citric_acid,mentions_phosphate,mentions_acetate,mentions_succinate,mentions_sucrose,mentions_trehalose,mentions_mannitol,mentions_sorbitol,mentions_polysorbate_80,mentions_polysorbate_20,mentions_poloxamer_188,mentions_arginine,mentions_glycine,mentions_proline,mentions_methionine,mentions_sodium_chloride,mentions_edta,mentions_ascorbic_acid,studies_aggregation,studies_oxidation,studies_deamidation,studies_potency,studies_viscosity,studies_shelf_life,studies_lyophilized,studies_liquid,protein_monoclonal_antibody,protein_bispecific,protein_fusion_protein,protein_insulin,protein_growth_factor,protein_enzyme,protein_vaccine,ph_mentioned,positive_outcome,negative_outcome
PubMed,18834153,Biomimicry of surfactant protein C.,Accounts of chemical research,2008,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,21585378,Prevention of benzyl alcohol-induced aggregation of chymotrypsinogen by PEGylation.,The Journal of pharmacy and pharmacology,2011,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,35995205,Protein-Surfactant and Protein-Protein Interactions During Freeze and Thaw: A Small-Angle Neutron Scattering Study of Lysozyme Solutions with Polysorbate and Poloxamer.,Journal of pharmaceutical sciences,2022,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,40225577,Targeting USP11 counteracts SFTPCI73T -associated interstitial lung disease in hiPSCs-derived alveolar organoids and in vivo models.,Theranostics,2025,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,0
PubMed,23013511,Control of amyloid assembly by autoregulation.,The Biochemical journal,2012,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,33387597,Preservative Induced Polysorbate 80 Micelle Aggregation.,Journal of pharmaceutical sciences,2021,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,21523787,Effects of surfaces and leachables on the stability of biopharmaceuticals.,Journal of pharmaceutical sciences,2015,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,24224491,Renewal of the air-water interface as a critical system parameter of protein stability: aggregation of the human growth hormone and its prevention by surface-active compounds.,Langmuir : the ACS journal of surfaces and colloids,2014,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,36014329,Hydroxylpropyl-&#x3b2;-cyclodextrin as Potential Excipient to Prevent Stress-Induced Aggregation in Liquid Protein Formulations.,"Molecules (Basel, Switzerland)",2022,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,1
PubMed,1367488,Cosolvent assisted protein refolding.,Bio/technology (Nature Publishing Company),1991,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,18479251,Prevention of human granulocyte colony-stimulating factor protein aggregation in recombinant Pichia pastoris fed-batch fermentation using additives.,Biotechnology and applied biochemistry,2009,protein aggregation prevention surfactant,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,24749737,Characterization and stability study of polysorbate 20 in therapeutic monoclonal antibody formulation by multidimensional ultrahigh-performance liquid chromatography-charged aerosol detection-mass spectrometry.,Analytical chemistry,2015,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,1,1
PubMed,34224732,Identification and Characterization of Polysorbate-Degrading Enzymes in a Monoclonal Antibody Formulation.,Journal of pharmaceutical sciences,2021,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1
PubMed,37643700,Evaluation of the In-Use Stability of Monoclonal Antibody IV Admixtures Prepared from Drug Products Containing Polysorbate 20 Degraded by Host-Cell Lipases.,Journal of pharmaceutical sciences,2023,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,1
PubMed,38772451,Identification of Acyl-Protein Thioesterase-1 as a Polysorbate-Degrading Host Cell Protein in a Monoclonal Antibody Formulation Using Activity-Based Protein Profiling.,Journal of pharmaceutical sciences,2024,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,1
PubMed,38675488,Investigation on the Combined Effect of Hydroxypropyl Beta-Cyclodextrin (HP&#x3b2;CD) and Polysorbate in Monoclonal Antibody Formulation.,"Pharmaceuticals (Basel, Switzerland)",2024,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,41161553,Mitigating polysorbate degradation-induced visible particle formation in an antibody formulation: From root cause identification to strategic solution.,International journal of pharmaceutics,2025,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1
PubMed,35609629,Lyophilized Filovirus Glycoprotein Vaccines: Peroxides in a Vaccine Formulation with Polysorbate 80-Containing Adjuvant are Associated with Reduced Neutralizing Antibody Titers in Both Mice and Non-Human Primates.,Journal of pharmaceutical sciences,2022,antibody formulation polysorbate stability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,,1,0
PubMed,31715179,Cis/Trans Isomerization of Unsaturated Fatty Acids in Polysorbate 80 During Light Exposure of a Monoclonal Antibody-Containing Formulation.,Journal of pharmaceutical sciences,2021,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,33711346,Stability of antibody drug conjugate formulations evaluated using solid-state hydrogen-deuterium exchange mass spectrometry.,Journal of pharmaceutical sciences,2021,antibody formulation polysorbate stability,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,1
PubMed,11683251,Effect of moisture on the stability of a lyophilized humanized monoclonal antibody formulation.,Pharmaceutical research,2002,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,0,0
PubMed,38942184,Visible light triggers the formation of reactive oxygen species in monoclonal antibody formulations.,International journal of pharmaceutics,2024,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,18023013,Self-buffering antibody formulations.,Journal of pharmaceutical sciences,2008,antibody formulation polysorbate stability,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,0,1
PubMed,30502482,Edetate Disodium as a Polysorbate Degradation and Monoclonal Antibody Oxidation Stabilizer.,Journal of pharmaceutical sciences,2020,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1
PubMed,37770006,How enzymatic hydrolysis of polysorbate 20 influences colloidal protein stability.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2023,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,1
PubMed,33141046,In-Use Interfacial Stability of Monoclonal Antibody Formulations Diluted in Saline i.v. Bags.,Journal of pharmaceutical sciences,2021,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1
PubMed,36628526,Optimizing a therapeutic humanized follicle-stimulating hormone-blocking antibody formulation by protein thermal shift assay.,Annals of the New York Academy of Sciences,2023,antibody formulation polysorbate stability,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.62,1,0
PubMed,37295604,"Comparison of the Protective Effect of Polysorbates, Poloxamer and Brij on Antibody Stability Against Different Interfaces.",Journal of pharmaceutical sciences,2026,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,22362139,Effect of polysorbate 80 quality on photostability of a monoclonal antibody.,AAPS PharmSciTech,2012,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,38042510,Enzymatic degradation pattern of polysorbate 20 impacts interfacial properties of monoclonal antibody formulations.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2024,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1
PubMed,27943242,"Knockout of a difficult-to-remove CHO host cell protein, lipoprotein lipase, for improved polysorbate stability in monoclonal antibody formulations.",Biotechnology and bioengineering,2017,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,1
PubMed,39492475,Exploring a role for flow-induced aggregation assays in platform formulation optimisation for antibody-based proteins.,Journal of pharmaceutical sciences,2024,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,1,0
PubMed,34845573,Effect of Fatty Acid Composition in Polysorbate 80 on the Stability of Therapeutic Protein Formulations.,Pharmaceutical research,2022,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,31487466,Studying Excipient Modulated Physical Stability and Viscosity of Monoclonal Antibody Formulations Using Small-Angle Scattering.,Molecular pharmaceutics,2020,antibody formulation polysorbate stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,1,1
PubMed,33789155,A review of Formulations of Commercially Available Antibodies.,Journal of pharmaceutical sciences,2021,protein lyophilization sucrose trehalose,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,,1,0
PubMed,37918545,"Stabilization effects of saccharides in protein formulations: A review of sucrose, trehalose, cyclodextrins and dextrans.",European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2023,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,37534799,New insights into the protein stabilizing effects of trehalose by comparing with sucrose.,Physical chemistry chemical physics : PCCP,2023,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,16338123,Distinct effects of sucrose and trehalose on protein stability during supercritical fluid drying and freeze-drying.,European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences,2006,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,9813347,Protein inactivation in amorphous sucrose and trehalose matrices: effects of phase separation and crystallization.,Biochimica et biophysica acta,1998,protein lyophilization sucrose trehalose,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,12137794,Mixed trehalose/sucrose glasses used for protein incorporation as studied by infrared and optical spectroscopy.,Analytical biochemistry,2003,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,31678247,Trehalose or Sucrose: Which of the Two Should be Used for Stabilizing Proteins in the Solid State? A Dilemma Investigated by In Situ Micro-Raman and Dielectric Relaxation Spectroscopies During and After Freeze-Drying.,Journal of pharmaceutical sciences,2021,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,36940838,Predicting the amorphous-phase composition during lyophilization.,International journal of pharmaceutics,2023,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
PubMed,38781678,Predicting the Stability of Formulations Containing Lyophilized Human Serum Albumin and Sucrose/Trehalose Using Solid-State NMR Spectroscopy.,Molecular pharmaceutics,2024,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,7854254,Desiccation tolerance of prokaryotes.,Microbiological reviews,1995,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0
PubMed,36770661,Enhanced Stability of Vegetal Diamine Oxidase with Trehalose and Sucrose as Cryoprotectants: Mechanistic Insights.,"Molecules (Basel, Switzerland)",2023,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,1,0
PubMed,10393566,Lyophilization of protein formulations in vials: investigation of the relationship between resistance to vapor flow during primary drying and small-scale product collapse.,Journal of pharmaceutical sciences,1999,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,0
PubMed,41126008,Developing Subcutaneous Formulations for Irisin as a Potential Therapeutic.,Pharmaceutical research,2026,protein lyophilization sucrose trehalose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,32525915,Increasing storage stability of freeze-dried plasma using trehalose.,PloS one,2020,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,38758116,Colyophilized Sugar-Polymer Dispersions for Enhanced Processing and Storage Stability.,Molecular pharmaceutics,2024,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,38570383,Predicting the Stability of Lyophilized Human Serum Albumin Formulations Containing Sucrose and Trehalose Using Solid-State NMR Spectroscopy: Effect of Storage Temperature on 1H T1 Relaxation Times.,The AAPS journal,2024,protein lyophilization sucrose trehalose,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,37535010,Role of Poloxamer 188 in Preventing Ice-Surface-Induced Protein Destabilization during Freeze-Thawing.,Molecular pharmaceutics,2023,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,7486995,Trehalose and sucrose protect both membranes and proteins in intact bacteria during drying.,Applied and environmental microbiology,1995,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,30288720,Applications of Freezing and Freeze-Drying in Pharmaceutical Formulations.,Advances in experimental medicine and biology,2019,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0
PubMed,26474964,Co-encapsulation of lyoprotectants improves the stability of protein-loaded PLGA nanoparticles upon lyophilization.,International journal of pharmaceutics,2016,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,1,0
PubMed,17958330,Effects of sugar additives on protein stability of recombinant human serum albumin during lyophilization and storage.,Archives of pharmacal research,2007,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,1,1
PubMed,31276620,"Molecular Computations of Preferential Interaction Coefficients of IgG1 Monoclonal Antibodies with Sorbitol, Sucrose, and Trehalose and the Impact of These Excipients on Aggregation and Viscosity.",Molecular pharmaceutics,2020,protein lyophilization sucrose trehalose,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,34180926,"Hydration enthalpies of amorphous sucrose, trehalose and maltodextrins and their relationship with heat capacities.",Physical chemistry chemical physics : PCCP,2021,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,38218506,Formulation factors affecting foam properties during vacuum foam-drying.,International journal of pharmaceutics,2024,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,0
PubMed,40997950,Overcoming cold chain challenges: Cryoprotection of self-amplifying mRNA polyplexes for long-term storage at ambient temperature.,Journal of controlled release : official journal of the Controlled Release Society,2026,protein lyophilization sucrose trehalose,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0
PubMed,17408371,Pulmonary vaccine delivery.,Expert review of vaccines,2007,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
PubMed,40650502,Terminalia arjuna gum as a novel biopolymer for microbead formulation in pH-sensitive drug delivery.,Drug development and industrial pharmacy,2025,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,31789106,Nanogels as drug-delivery systems: a comprehensive overview.,Therapeutic delivery,2020,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
PubMed,38299420,Nanotechnology-based Herbal Drug Formulation in the Treatment of Diabetes Mellitus.,Current diabetes reviews,2024,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,27522919,Accelerating Vaccine Formulation Development Using Design of Experiment Stability Studies.,Journal of pharmaceutical sciences,2017,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,1,1
PubMed,5153883,Drug formulation and biologic availability.,Seminars in drug treatment,1972,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,33705876,Dry powder pharmaceutical biologics for inhalation therapy.,Advanced drug delivery reviews,2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,1,1
PubMed,33309656,Influence of pH-responsive compounds synthesized from chitosan and hyaluronic acid on dual-responsive (pH/temperature) hydrogel drug delivery systems of Cortex Moutan.,International journal of biological macromolecules,2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,32466932,Anthocyanins: New techniques and challenges in microencapsulation.,"Food research international (Ottawa, Ont.)",2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
PubMed,33694304,Biological drug therapy for ocular angiogenesis: Anti-VEGF agents and novel strategies based on nanotechnology.,Pharmacology research &amp; perspectives,2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,0,0
PubMed,33845039,Particle engineering principles and technologies for pharmaceutical biologics.,Advanced drug delivery reviews,2022,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0
PubMed,27573097,Recent perspectives on the delivery of biologics to back of the eye.,Expert opinion on drug delivery,2017,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0
PubMed,17475423,Intranasal delivery: physicochemical and therapeutic aspects.,International journal of pharmaceutics,2007,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,39393712,"Formulation strategies, preparation methods, and devices for pulmonary delivery of biologics.",European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2024,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0
PubMed,28925794,Developments in the formulation and delivery of spray dried vaccines.,Human vaccines &amp; immunotherapeutics,2018,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0
PubMed,34041914,Analytical and Computational Methods for the Determination of Drug-Polymer Solubility and Miscibility.,Molecular pharmaceutics,2022,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0
PubMed,36632784,Intraocular delivery considerations of ocular biologic products and key preclinical determinations.,Expert opinion on drug delivery,2023,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,31967908,"Development, characterization and stability evaluation of ciprofloxacin-loaded parenteral nutrition nanoemulsions.",Pharmaceutical development and technology,2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
PubMed,39079589,The silicone depletion in combination products induced by biologics.,European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V,2024,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,28618756,Rational design of rabies vaccine formulation for enhanced stability.,Turkish journal of medical sciences,2019,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,,1,1
PubMed,40436547,Microencapsulation of Syzygium zeylanicum (L.) DC.: A novel strategy for improving antidiabetic and anti-inflammatory activities.,"Food research international (Ottawa, Ont.)",2025,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0
PubMed,30703385,Physical Characterization of Halofantrine-Encapsulated Fat Nanoemulsions.,Journal of pharmaceutical sciences,2020,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
PubMed,32708704,New Opportunity to Formulate Intranasal Vaccines and Drug Delivery Systems Based on Chitosan.,International journal of molecular sciences,2021,biologic drug formulation pH stability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1
PubMed,35026663,Quantifying methionine sulfoxide in therapeutic protein formulation excipients as sensitive oxidation marker.,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2022,protein oxidation methionine formulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,1,0
PubMed,36130676,Residue-Specific Impact of EDTA and Methionine on Protein Oxidation in Biotherapeutics Formulations Using an Integrated Biotherapeutics Drug Product Development Workflow.,Journal of pharmaceutical sciences,2023,protein oxidation methionine formulation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0
PubMed,19165723,Methionine oxidation in human IgG2 Fc decreases binding affinities to protein A and FcRn.,Protein science : a publication of the Protein Society,2009,protein oxidation methionine formulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
PubMed,25641333,Modeling the oxidation of methionine residues by peroxides in proteins.,Journal of pharmaceutical sciences,2015,protein oxidation methionine formulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1
